MAIN_ID,IDS,Z_VALUE,FLUX_B,FLUX_V,SCRIPT_NUMBER_ID
4B 941126,4B 941126|GRB 941126|Trigger  3298|[STK2001] 09682b,,,,0
GRB 191031C,GRB 191031C,,,,0
[STK2001] 10627a,[STK2001] 10627a,,,,0
GRB 990724,GRB 990724|KONUS 24.07.99,,,,0
GRB 161207A,GRB 161207A,,,,0
PhebusB 940712,PhebusB 940712,,,,0
GRB 170327A,GRB 170327A|MASTER OT J184546.55-352847.6,,,,0
GRB 201021C,GRB 201021C,,,,0
Fermi bn080723985,GRB 080723D|Fermi bn080723985,,,,0
4B 960119B,4B 960119B|Trigger  4469|[STK2001] 10101c,,,,0
Fermi bn150220598,GRB 150220A|Fermi bn150220598,,,,0
4B 950111B,4B 950111B|Trigger  3352|[STK2001] 09728c,,,,0
GRB 880810A,GRB 880810A,,,,0
GRB 180718B,GRB 180718B,,,,0
[STK2001] 08386c,[STK2001] 08386c,,,,0
Fermi bn080806896,GRB 080806B|Fermi bn080806896,,,,0
Fermi bn081122520,GRB 081122|Fermi bn081122520|GRB 081122A,,,,0
GRB 200127A,GRB 200127A,,,,0
GRB 180523A,GRB 180523A,,,,0
Trigger  7290,Trigger  7290|[STK2001] 11178a,,,,0
SN 1998bw,SN 1998bw|GRB 980425|Trigger  6707|XRF 980425|[STK2001] 10928c|AAVSO 1927-53,0.0085000,14.09000015258789,,0
[STK2001] 09635c,[STK2001] 09635c,,,,0
1B 911127C,1B 911127C|2B 911127C|3B 911127C|4B 911127C|GRB 911127C|Trigger  1123|[STK2001] 08587c,,,,0
GRB 051210,GRB 051210,1.3000000,,,0
[STK2001] 09122a,[STK2001] 09122a,,,,0
GRB 180711A,GRB 180711A,,,,0
GRB 010616,GRB 010616,,,,0
GRB 191004A,GRB 191004A,,,,0
[KLK2001] 920321.19,[KLK2001] 920321.19,,,,0
4B 960412,4B 960412|Trigger  5420|[STK2001] 10185f,,,,0
GRB 210518A,GRB 210518A,,,,0
GRB 141212A,GRB 141212A,0.5960000,,,0
Fermi bn111010660,GRB 111010B|Fermi bn111010660,,,,0
[STK2001] 08822b,[STK2001] 08822b,,,,0
3B 940623B,3B 940623B|4B 940623B|Trigger  3040|[STK2001] 09526b,,,,0
GRB 991002,GRB 991002|Trigger  7784|[STK2001] 11453g,,,,0
Fermi bn180306973,Fermi bn180306973,,,,0
GRB 190828A,GRB 190828A,,,,0
GRB 171011A,GRB 171011A,,,,0
[STK2001] 09486b,[STK2001] 09486b,,,,0
[STK2001] 08755a,[STK2001] 08755a,,,,0
Fermi bn170219002,GRB 170219A|Fermi bn170219002,,,,0
Trigger  7493,Trigger  7493|[STK2001] 11265a,,,,0
GRB 161127A,GRB 161127A,,,,0
GRB 881017,GRB 881017,,,,0
Fermi bn110226989,GRB 110226A|Fermi bn110226989,,,,0
GRB 120602A,GRB 120602A,,,,0
[KLK2001] 940611.66,[KLK2001] 940611.66,,,,0
Fermi bn130209961,Fermi bn130209961,,,,0
GRB 201214A,GRB 201214A,,,,0
[KLK2001] 930320.94,[KLK2001] 930320.94,,,,0
3B 940423,3B 940423|4B 940423|Trigger  2944|[STK2001] 09465f,,,,0
Fermi bn080817161,GRB 080817|Fermi bn080817161|GRB 080817A,,,,0
GRB 050911A,GRB 050911A|GRB 050911,0.1650000,,,0
Fermi bn140118064,GRB 140118A|Fermi bn140118064,,,,0
GRB 220705A,GRB 220705A,,,,0
[KLK2001] 930330.91,[KLK2001] 930330.91,,,,0
3B 940314,3B 940314|4B 940314|Trigger  2881|[STK2001] 09425b,,,,0
[STK2001] 10362c,[STK2001] 10362c,,,,0
GRB 050208,GRB 050208,,,,0
GRB 060915,GRB 060915,,,,0
GRB 090309A,GRB 090309A,,,,0
3B 930526,3B 930526|4B 930526|Trigger  2353|[STK2001] 09133b,,,,0
GRB 971227,GRB 971227|Trigger  6546,,,,0
GRB 981111,GRB 981111|Trigger  7207|[STK2001] 11128a,,,,0
Fermi bn120605453,GRB 120605A|Fermi bn120605453,,,,0
2B 920414B,2B 920414B|3B 920414B|4B 920414B|Trigger  1552|[STK2001] 08726b,,,,0
[STK2001] 11134a,[STK2001] 11134a,,,,0
Fermi bn111103441,GRB 111103A|Fermi bn111103441,,,,0
GRB 220120A,GRB 220120A,,,,0
GRB 131119A,GRB 131119A,,,,0
GRB 131029B,GRB 131029B,,,,0
[STK2001] 11631c,[STK2001] 11631c,,,,0
[STK2001] 11217d,[STK2001] 11217d,,,,0
GRB 970612B,GRB 970612B,,,,0
[STK2001] 10867g,[STK2001] 10867g,,,,0
Fermi bn120314412,GRB 120314A|Fermi bn120314412,,,,0
Fermi bn110923481,Fermi bn110923481,,,,0
Fermi bn100424729,GRB 100424B|Fermi bn100424729,,,,0
GRB 211223C,GRB 211223C,,,,0
[STK2001] 08760d,[STK2001] 08760d,,,,0
[KLK2001] 970128.44,[KLK2001] 970128.44,,,,0
1B 920116,1B 920116|2B 920116|3B 920116|4B 920116|Trigger  1303|WATCH 920116|[STK2001] 08637d,,,,0
GRB 200919C,GRB 200919C,,,,0
GRB 990414,GRB 990414|Trigger  7519|[STK2001] 11282f,,,,0
4B 951013,4B 951013|Trigger  3864|[STK2001] 10003e,,,,0
GRB 060223,GRB 060223,4.4100000,,,0
[KLK2001] 940902.23,[KLK2001] 940902.23,,,,0
GRB 150428C,GRB 150428C,,,,0
GRB 170710C,GRB 170710C,,,,0
[STK2001] 11098b,[STK2001] 11098b,,,,0
Fermi bn100326294,GRB 100326A|Fermi bn100326294,,,,0
GRB 200922A,GRB 200922A,,,,0
GRB 980331,GRB 980331,,,,0
2B 920609,2B 920609|3B 920609|4B 920609|Trigger  1642|[STK2001] 08782b,,,,0
GRB 000616,GRB 000616,,,,0
GRB 961019,GRB 961019|Trigger  5637|[STK2001] 10375d,,,,0
[STK2001] 08509b,[STK2001] 08509b,,,,0
GRB 000310,GRB 000310,2.0340000,,,0
Fermi bn100805300,GRB 100805B|Fermi bn100805300,,,,0
GRB 200122A,GRB 200122A,,,,0
GRB 781109,GRB 781109|KONUS 09.11.78|[ABH87] 17,,,,0
[STK2001] 10444b,[STK2001] 10444b,,,,0
[KLK2001] 950310.90,[KLK2001] 950310.90,,,,0
GRB 960913,GRB 960913|Trigger  5604|[STK2001] 10339h,,,,0
[KLK2001] 930109.31,[KLK2001] 930109.31,,,,0
2B 930112,2B 930112|3B 930112|4B 930112|GRB 930112|PhebusB 930112a|Trigger  2127,,,,0
GRB 980125,GRB 980125|GRB 980125B|Trigger  6581|[STK2001] 10838d,,,,0
[KLK2001] 921025.57,[KLK2001] 921025.57,,,,0
Fermi bn111103948,GRB 111103C|Fermi bn111103948,,,,0
[STK2001] 10194a,[STK2001] 10194a,,,,0
GRB 201027A,GRB 201027A,,,,0
[STK2001] 10697c,[STK2001] 10697c,,,,0
GRB 090118,GRB 090118,,,,0
[KLK2001] 971018.51,[KLK2001] 971018.51,,,,0
GRB 970919B,GRB 970919B|Trigger  6390|[STK2001] 10710e,,,,0
Fermi bn170912273,GRB 170912B|Fermi bn170912273,,,,0
1B 911119B,1B 911119B|2B 911119B|3B 911119B|4B 911119B|Trigger  1087|[STK2001] 08579e,,,,0
GRB 120510A,GRB 120510A,,,,0
